country-year,Sum of  gdp_for_year ($) 
Maldives2003,12625452660
Seychelles2007,12402739848
Antigua and Barbuda2005,12266295552
Seychelles2006,12197018748
Grenada2015,11964095112
Belize2003,11884488600
Montenegro2000,11811571068
Suriname1987,11758200000
Seychelles2010,11639238300
Seychelles2008,11606395128
Saint Lucia2005,11414488392
Suriname1998,11340000000
Belize2002,11190622200
Suriname1997,11155290000
Antigua and Barbuda2004,11034925776
Seychelles2005,11029239060
Grenada2014,10937777772
Maldives2002,10764375000
Saint Lucia2004,10717286532
Suriname2000,10705972728
Suriname1986,10692000000
Suriname1999,10625330232
Grenada2016,10561885930
Suriname1985,10479000000
Belize2001,10462327200
Maldives2001,10442156868
Suriname1996,10327571076
Antigua and Barbuda2003,10267717332
Seychelles2009,10168774200
Grenada2013,10111441332
Seychelles2004,10071839124
Belize2000,9984869400
Antigua and Barbuda2000,9961905336
Grenada2008,9911734668
Guyana2005,9898566600
Saint Lucia2003,9886045692
Antigua and Barbuda2002,9775383996
Antigua and Barbuda2001,9608883108
Grenada2012,9598585776
Guyana2004,9431025240
Saint Lucia2000,9409910748
Grenada2011,9343784004
Saint Lucia1999,9311217756
Grenada2009,9255337332
Grenada2010,9252190668
Antigua and Barbuda1999,9194387112
Suriname2001,9161586600
Grenada2007,9104203116
Saint Vincent and Grenadines2015,9080000004
Guyana1997,8989656120
Saint Lucia2002,8980159272
Saint Lucia2001,8925696912
Guyana2003,8903152116
Saint Lucia1998,8850658464
Belize1999,8792788200
Antigua and Barbuda1998,8734327116
Saint Vincent and Grenadines2014,8702222220
Guyana2002,8669530632
Saint Vincent and Grenadines2013,8654485776
Guyana1998,8610368196
Albania1992,8513431008
Seychelles2003,8468457792
Guyana1996,8464872012
Grenada2006,8384408004
Seychelles2002,8370218976
Guyana2001,8355377664
Saint Vincent and Grenadines2008,8345146224
Grenada2005,8344443552
Guyana1999,8337059856
Suriname1995,8327647056
Saint Vincent and Grenadines2012,8315204892
Belize1998,8267909400
Saint Vincent and Grenadines2010,8174711556
Saint Lucia1997,8123395128
Saint Vincent and Grenadines2011,8113552884
Saint Vincent and Grenadines2009,8099069772
Saint Lucia1996,7946354220
Belize1997,7851772200
Saint Vincent and Grenadines2007,7821999996
Belize1996,7696605600
Saint Lucia1995,7685394012
Maldives2000,7492045740
Seychelles2001,7467144684
Guyana1995,7459521432
Belize1995,7441684800
Saint Vincent and Grenadines2006,7331160444
Saint Lucia1994,7200066768
Grenada2004,7189423116
Grenada2003,7092220884
Antigua and Barbuda1994,7073155116
Belize1994,6970364400
Antigua and Barbuda1995,6927368892
Saint Lucia1993,6898444860
Saint Lucia1992,6802736988
Belize1993,6718299000
Saint Vincent and Grenadines2005,6608744004
Suriname1989,6510240000
Guyana1994,6490499208
Grenada2002,6484043112
Antigua and Barbuda1993,6422073336
Saint Vincent and Grenadines2004,6263701332
Grenada2001,6245330220
Saint Lucia1991,6165045816
Antigua and Barbuda1992,5991373776
Saint Lucia1990,5807549172
Saint Vincent and Grenadines2003,5781675552
Antigua and Barbuda1991,5780475996
Saint Vincent and Grenadines2002,5542601328
Antigua and Barbuda1990,5513628888
Suriname1991,5379600000
Belize1991,5336649000
Guyana1993,5307281196
Antigua and Barbuda1989,5265537336
Saint Vincent and Grenadines2001,5160484440
Saint Lucia1989,4986217344
Guyana1988,4965599880
Belize1990,4956600000
Suriname1992,4855200000
Antigua and Barbuda1988,4783652892
Guyana1990,4758987156
Saint Vincent and Grenadines2000,4755240000
Saint Vincent and Grenadines1999,4688629776
Suriname1990,4659600000
Guyana1989,4557352680
Saint Vincent and Grenadines1998,4483438224
Guyana1992,4419376548
Grenada1996,4402937328
Saint Lucia1988,4398493092
Belize1989,4357800000
Saint Vincent and Grenadines1997,4173240000
Grenada1995,4106070228
Antigua and Barbuda1987,4046098224
Guyana1991,4040501028
Saint Vincent and Grenadines1996,3977876448
Grenada1994,3901341780
Saint Lucia1987,3839987844
Saint Vincent and Grenadines1995,3792101772
Grenada1992,3721925328
Grenada1993,3717746220
Grenada1991,3609094668
Antigua and Barbuda1986,3485281776
Saint Lucia1986,3476276448
Grenada1990,3337185336
Belize1987,3318600000
Grenada1989,3207931560
Seychelles1987,2991204480
Antigua and Barbuda1985,2891087112
Saint Vincent and Grenadines1990,2884383108
Grenada1988,2836290228
Saint Kitts and Nevis1992,2753214228
Belize1986,2734200000
Saint Kitts and Nevis1991,2518571556
Saint Kitts and Nevis1990,2504885328
Seychelles1986,2494207488
Saint Vincent and Grenadines1987,2106967560
Seychelles1985,2026650468
Grenada1985,2012741328
Saint Vincent and Grenadines1986,1930160004
Saint Vincent and Grenadines1985,1747700448
Dominica1985,1183022220
Kiribati1999,828387096
Kiribati1997,810449760
Kiribati2000,807050088
Kiribati1996,798184524
Kiribati1998,784018092
Kiribati2001,757215264
Kiribati1995,676056336
Kiribati1994,657990936
Kiribati1992,572855460
Kiribati1991,570182268
Kiribati1993,563035500
